0,1,2,3
enormously,tremendously,decidedly,guess
provisions,stipulations,interpretations,guess
haphazardly,randomly,linearly,guess
prominent,conspicuous,conspicuous,guess
zenith,pinnacle,decline,guess
flawed,imperfect,crude,guess
urgently,desperately,desperately,guess
consumed,eaten,eaten,correct
advent,coming,coming,correct
concisely,succinctly,succinctly,guess
salutes,greetings,greetings,correct
solitary,alone,restless,wrong
hasten,accelerate,accompany,guess
perseverance,endurance,endurance,correct
fanciful,imaginative,logical,guess
showed,demonstrated,repeated,wrong
constantly,continually,instantly,wrong
issues,subjects,benefits,wrong
furnish,supply,advise,guess
costly,expensive,expensive,correct
recognized,acknowledged,welcomed,guess
spot,location,location,correct
make,earn,trade,wrong
often,frequently,hardly,guess
easygoing,relaxed,relaxed,correct
debate,argument,election,wrong
narrow,thin,clear,wrong
arranged,planned,planned,correct
infinite,limitless,relative,wrong
showy,striking,incidental,guess
levied,imposed,correlated,guess
deftly,skillfully,humorously,guess
distribute,circulate,acknowledge,guess
discrepancies,differences,differences,guess
prolific,productive,promising,wrong
unmatched,unequaled,emulated,guess
peculiarly,uniquely,suspiciously,guess
hue,color,color,correct
hind,rear,hairy,wrong
highlight,accentuate,restore,guess
hastily,hurriedly,chronologically,guess
temperate,mild,windy,guess
grin,smile,smile,correct
verbally,orally,verbosely,guess
physician,doctor,nurse,wrong
essentially,basically,ordinarily,guess
keen,sharp,sharp,correct
situated,positioned,positioned,correct
principal,major,major,correct
slowly,gradually,gradually,correct
built,constructed,organized,guess
tasks,jobs,materials,wrong
unlikely,improbable,unpopular,guess
halfheartedly,apathetically,unconventionally,guess
annals,chronicles,songs,guess
wildly,furiously,furiously,guess
hailed,acclaimed,addressed,wrong
command,mastery,observation,wrong
concocted,devised,supervised,guess
prospective,potential,prominent,wrong
generally,broadly,accurately,guess
sustained,prolonged,prolonged,correct
perilous,dangerous,dangerous,guess
tranquillity,peacefulness,happiness,guess
dissipate,disperse,photograph,guess
primarily,chiefly,chiefly,guess
colloquial,conversational,conversational,guess
resolved,settled,examined,guess
feasible,possible,evident,guess
expeditiously,rapidly,repeatedly,guess
percentage,proportion,profit,wrong
terminated,ended,evaluated,guess
uniform,alike,hard,wrong
figure,solve,list,wrong
sufficient,enough,valuable,guess
fashion,manner,manner,guess
marketed,sold,diluted,guess
bigger,larger,better,guess
roots,origins,origins,correct
normally,ordinarily,periodically,guess
